ZIP_CODE,EV_LEVEL_1,EV_LEVEL_2,EV_FAST,NETWORK_TYPE_ChargePoint,NETWORK_TYPE_Non-Networked,NETWORK_TYPE_Other-Network,TOTAL_HOUSEHOLDS,MEDIAN_INCOME,REG_COUNTS
97101,0,5,0,0,1,2,4419.0,229191.0,108
97103,4,9,1,0,1,4,36900.0,277745.0,700
97106,0,2,2,0,0,3,4557.0,311874.0,255
97110,0,15,1,0,1,5,3030.0,187212.0,228
97111,0,6,0,0,1,2,3906.0,195000.0,219
97113,0,6,3,0,1,3,17860.0,279808.0,444
97114,0,12,0,0,0,6,9636.0,398916.0,318
97115,0,7,0,0,1,4,7370.0,389065.0,475
97116,0,5,0,0,0,4,37916.0,263644.0,1564
97119,0,2,0,0,0,1,1511.0,94904.0,71
97123,2,88,10,34,0,14,781056.0,3925152.0,22584
97124,0,81,3,14,8,11,687390.0,2985180.0,39468
97128,0,12,1,1,3,5,128358.0,509580.0,3186
97132,0,20,2,0,4,10,144914.0,1007762.0,3220
97133,0,2,0,0,0,1,1766.0,95357.0,132
97134,0,4,0,0,1,1,346.0,128970.0,22
97135,0,2,0,0,0,1,0.0,0.0,13
97138,0,6,8,1,0,2,13104.0,149928.0,357
97140,3,17,5,8,1,4,117585.0,1389115.0,8125
97141,0,14,3,4,1,4,48123.0,444123.0,828
97145,0,9,0,0,0,2,312.0,184546.0,4
97146,0,6,4,2,0,2,9480.0,237144.0,136
97148,0,2,0,0,1,1,2692.0,190000.0,76
97201,0,35,0,2,2,9,119340.0,721305.0,6136
97202,0,14,2,6,0,8,256256.0,1144808.0,10381
97203,0,8,0,4,0,0,48996.0,275440.0,2120
97204,0,50,1,5,1,9,5760.0,308895.0,1365
97205,0,129,0,21,0,24,228105.0,1683900.0,64530
97206,0,4,4,2,0,1,61854.0,209016.0,3111
97209,0,57,0,3,1,8,156864.0,797220.0,7128
97210,0,16,1,4,0,3,46970.0,544915.0,4788
97211,0,5,0,0,0,3,40860.0,245406.0,2799
97212,0,4,0,1,0,1,21816.0,213410.0,2332
97213,0,17,4,0,0,9,126207.0,700236.0,7659
97214,10,32,0,6,6,8,262980.0,1398920.0,7470
97215,0,6,0,0,0,4,31400.0,333484.0,1370
97217,0,44,7,15,1,6,323268.0,1780966.0,19932
97218,0,22,4,0,0,8,43808.0,530280.0,1204
97219,2,26,6,0,10,8,303804.0,1777590.0,15795
97220,0,12,1,1,2,4,79604.0,393372.0,2436
97222,0,25,4,1,1,7,142119.0,542862.0,4968
97223,0,17,25,2,0,13,295395.0,1250250.0,17970
97224,0,10,3,0,0,7,103341.0,542780.0,6489
97225,0,14,0,2,1,2,56940.0,449580.0,5275
97227,0,23,0,1,0,5,15444.0,427392.0,2730
97229,0,12,0,3,0,3,150966.0,737286.0,7590
97230,0,4,2,0,2,2,60588.0,218324.0,1736
97231,0,2,0,1,0,0,1578.0,101528.0,267
97232,0,46,4,9,1,10,144720.0,1261180.0,10540
97233,0,6,0,2,0,2,54728.0,169808.0,948
97239,4,16,0,4,0,2,54132.0,560754.0,2904
97266,0,3,0,2,1,0,37959.0,161952.0,1110
97267,0,3,1,0,2,0,26852.0,140324.0,1180
97301,12,66,16,19,4,15,705204.0,1665958.0,14440
97302,0,9,2,1,3,4,126352.0,533616.0,5832
97303,2,6,2,0,1,3,59964.0,258348.0,1268
